NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,19,27,5,2,181,54,13,12,257,43,0.934782608695652,3,0,0,0,3,1,1,1,8,2,2,0,13,1,1,0.263157894736842,0.263157894736842,1,0,0,0,1,0.157894736842105,1,0.263157894736842,1,1,0.105263157894737,0.052631578947369,1,1,0.526315789473684,0.052631578947369
0,0,5,8,1,0,29,11,3,1,53,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.833333333333333,0.166666666666667,1,0,0.166666666666667,0,1,0,1,0.833333333333333,1,0,0.333333333333333,0,1,0,0.5,0
0,0,1,3,1,0,10,3,0,0,16,4,0.266666666666667,11,0,0,0,8,18,0,0,50,22,3,2,133,0.5,0,0,0,0,0,0,0,1,0,1,0,0.111111111111111,0,1,0,0.461538461538462,0,0,0
0,0,0,2,0,0,5,3,1,0,11,2,0.111111111111111,16,0,0,0,13,24,1,0,71,28,4,4,180,1,0.090909090909091,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.036363636363636,0,1,0
0,0,3,7,1,0,21,6,0,0,37,4,0.181818181818182,18,0,0,0,16,24,1,0,83,32,7,6,180,1,0,0,0,0,0,0,0,1,0,1,0,0.3,0,1,0,1,0,0,0
0,0,0,2,0,0,5,3,1,0,11,2,0.117647058823529,15,0,0,0,12,23,1,0,68,27,4,4,171,1,0.1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.03921568627451,0,1,0
0,0,0,1,0,0,3,1,1,0,4,2,0.064516129032258,29,0,0,0,5,14,8,0,68,23,9,4,88,0.166666666666667,0,0,0,0.166666666666667,0,0,0,1,0,1,0,0,0,0,0,0.051282051282051,0.03448275862069,0,0.666666666666667
0,0,1,4,1,0,24,9,0,2,40,8,0.2,32,0,0,0,9,18,8,1,77,24,1,6,179,1,0.666666666666667,0.083333333333333,0.166666666666667,0,0,0,0,1,0.083333333333333,1,0.083333333333333,0.5,0,0.166666666666667,0,0.243243243243243,0,0.416666666666667,0
0,0,4,4,1,0,14,3,2,1,34,5,0.833333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,3,2,0,0,9,2,2,1,16,2,0.333333333333333,4,0,0,0,3,3,1,0,9,2,1,0,13,1,0.5,0,1,1,0.5,0,1,1,0,1,0,1,0.5,0,0,1,0,0,0
0,0,2,1,0,0,8,2,1,0,14,2,0.033333333333333,58,0,0,0,23,33,8,4,149,45,10,11,246,1,0.5,0,0,1,0,0,0,1,0,1,0,1,0.5,0,0,0.5,0,0,0
0,0,5,3,1,0,14,1,0,1,19,5,0.113636363636364,39,0,0,0,42,31,7,7,123,23,2,8,178,1,0,0.166666666666667,0,0,0,0,0,1,0.166666666666667,1,0.166666666666667,1,0.1,0.166666666666667,0.833333333333333,0.428571428571429,0.12396694214876,0.333333333333333,0.833333333333333
0,0,1,1,0,0,4,1,1,0,5,2,0.25,6,0,0,0,14,7,0,1,50,13,11,2,77,0.2,0,0.571428571428571,0,0.2,0,0.571428571428571,0,1,0.142857142857143,1,0.142857142857143,0.2,0,0.571428571428571,0,0.2,0.111111111111111,0.571428571428571,0.857142857142857
0,0,1,1,0,0,6,2,1,1,8,2,0.166666666666667,10,0,0,0,8,10,0,0,40,16,1,4,131,1,0,0,0,1,0,0,0,1,0,1,0,0.333333333333333,0,0.222222222222222,0,0.6,0.294117647058824,0,0.333333333333333
0,0,1,1,0,0,6,2,1,1,14,2,0.1,18,1,0,0,16,13,2,3,61,21,11,2,109,1,0,0,0,1,0,0,0,1,0,1,0,0.071428571428572,0,1,0,0.266666666666667,0,0,0
0,0,6,5,0,3,28,8,6,0,41,5,0.25,15,1,0,0,11,9,2,0,44,15,6,3,82,1,0,0,0,1,0,0,0,1,0,1,0,0.428571428571429,0,1,0,1,0.54,0,1
0,0,0,1,0,0,5,3,0,0,3,2,0.029850746268657,65,0,0,0,16,24,6,2,138,48,11,10,267,0.25,0.125,1,1,0,0,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0,0
0,0,2,2,0,0,8,2,0,1,11,3,0.090909090909091,30,0,0,0,12,15,4,0,73,23,1,5,93,1,0.5,0.1,0.1,0,0,0,0,1,0.1,1,0.1,1,0,0.1,0,1,0,0.1,0
0,0,4,4,2,0,25,9,4,1,42,9,0.236842105263158,29,0,0,0,13,21,8,2,83,33,12,3,164,1,0,0,0,1,0,0,0,1,0,1,0,0.235294117647059,0,0.666666666666667,0,1,0.254237288135593,0,1
0,0,1,2,0,0,6,1,0,1,5,2,0.133333333333333,13,0,0,0,2,6,1,0,33,9,1,2,22,0.2,0,0,0,0,0,0,0,1,0,1,0,0.333333333333333,0,1,0,0.5,0.230769230769231,1,1
0,0,1,2,0,0,4,1,0,0,8,2,0.117647058823529,15,0,0,0,5,6,2,0,35,11,2,2,53,0.5,0,0.5,0,0,0,0,0,1,0,1,0,1,0,0.5,0,1,0,0.5,0
0,0,1,2,0,0,10,4,1,0,15,2,0.066666666666667,28,0,0,0,8,23,5,0,80,31,8,6,138,0.333333333333333,0,0.25,0,0.333333333333333,0,0.25,0,1,0,1,0,0.111111111111111,0,0.5,0,0.333333333333333,0.083333333333333,0.25,0.875
0,0,0,1,0,0,3,2,0,0,13,2,0.2,8,0,1,0,5,8,1,0,33,14,5,5,76,0.333333333333333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.428571428571429,0,0,0
0,0,1,1,0,0,6,2,1,1,14,2,0.2,8,0,0,0,3,3,1,0,20,9,0,1,48,1,0,0,0,1,0,0,0,1,0,1,0,0.333333333333333,0,1,0,1,0.25,0,1
0,0,1,1,1,0,12,6,0,0,25,4,0.4,6,0,0,0,3,3,0,0,14,5,1,2,37,1,0,0.5,0,0,0,0,0,0.5,1,1,0.5,0.333333333333333,0,1,0,0.4375,0,1,0
0,0,1,1,0,0,5,2,0,0,17,2,0.285714285714286,5,0,0,0,2,2,0,0,9,3,1,1,20,1,0,1,0,0,0,0,0,1,1,1,1,0.5,0,1,0,0.555555555555556,0,1,0
0,0,1,2,0,0,5,1,0,0,6,3,0.333333333333333,6,0,0,0,7,9,0,0,24,5,2,2,51,1,0,0,0,0,0,0,0,1,0,1,0,0.2,0,0.25,0,0.333333333333333,0.214285714285714,0,0.25
0,0,2,2,1,0,12,6,0,0,16,6,0.352941176470588,11,0,0,0,6,12,2,0,40,12,0,4,75,1,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0
0,0,1,3,0,0,7,3,0,0,18,2,0.25,6,0,0,0,0,2,0,0,16,7,0,3,27,0.333333333333333,0,0.6,0,0,0,0,0,1,0,1,0,1,0,0.2,0,0.333333333333333,0,1,0
0,0,1,4,0,1,13,6,0,0,49,2,0.068965517241379,27,0,0,0,5,23,2,3,85,36,0,7,195,1,0.428571428571429,0.125,0.125,0,0,0,0,1,0.125,1,0.125,1,0,0.125,0,1,0,0.125,0
0,0,2,2,0,0,5,0,0,0,5,2,0.333333333333333,4,0,0,0,2,3,1,0,8,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0.5,1,0
0,0,0,2,0,0,2,0,0,0,0,2,0.064516129032258,29,0,0,0,3,26,9,2,63,16,0,2,69,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,8,3,1,0,15,2,0.4,3,0,0,0,1,2,0,0,10,4,0,2,42,1,0,0.25,0,1,0,0,0,1,0,1,0,1,0,0.25,0,1,0,0.25,0
0,0,0,1,0,0,3,1,0,1,5,2,0.125,14,0,0,0,12,13,0,1,54,16,0,8,110,0.5,0,0.333333333333333,0,0,0,0,0,1,0.166666666666667,1,0,0,0,0,0,0,0,0,0
0,0,7,10,3,2,42,13,2,1,72,15,0.6,10,0,0,0,2,3,1,0,15,4,1,1,33,1,1,1,0,1,0,1,0,1,1,1,1,1,0.833333333333333,1,1,1,0.857142857142857,1,1
