NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,1,1,0,0,4,1,0,0,12,3,0.130434782608696,20,0,0,0,10,14,3,2,79,30,9,7,141,0.25,0,0.4,0,0,0,0,0,1,0.2,1,0.2,0.142857142857143,0,0.6,0,0.133333333333333,0,0.8,0
0,0,2,1,0,0,6,1,1,0,7,2,0.043478260869565,44,0,0,0,67,49,2,10,202,46,38,1,273,0.142857142857143,0,0.666666666666667,0,0.142857142857143,0,0.666666666666667,0,0.5,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0,1,0,0.166666666666667,0,1,0
0,0,2,4,0,0,12,2,1,0,10,5,0.555555555555556,4,0,0,0,3,5,0,1,14,4,2,1,20,1,0,0,0,0.5,0,0.333333333333333,0,1,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.6,0.333333333333333,0
0,0,3,11,3,1,44,14,0,1,87,16,0.888888888888889,2,0,0,0,2,3,0,0,9,4,0,0,34,1,0.666666666666667,0.25,0,0,0,0,0,1,0,1,0.25,1,0.5,0.25,0.5,1,0.956521739130435,0.25,0.75
0,0,1,2,0,0,8,3,0,0,27,3,0.157894736842105,16,0,0,0,4,13,3,1,47,16,0,2,103,0.666666666666667,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0.5,0,0.4,0.230769230769231,0,1
0,0,6,1,0,0,32,9,5,2,19,4,0.266666666666667,11,0,0,0,24,9,1,0,84,31,20,4,86,1,1,0.333333333333333,0.333333333333333,0.5,0.5,0.333333333333333,0.666666666666667,1,0,1,0.333333333333333,0.214285714285714,0,1,0,0.228915662650602,0,1,0
0,0,12,5,0,0,47,14,10,0,42,4,0.173913043478261,19,0,1,0,29,8,2,3,127,42,23,9,96,1,0.6,0,0,1,0.6,0,0,1,0,1,0,1,0.256410256410256,0,1,1,0.555555555555556,0,0
0,0,3,7,0,2,33,11,2,2,24,8,0.296296296296296,19,0,0,0,17,15,1,5,64,15,11,1,69,1,1,0.2,0.4,1,0,0.4,0,1,0,1,0.2,1,0,0.2,0,1,0.166666666666667,0,0.6
0,0,0,1,0,1,4,2,0,0,6,2,0.054054054054054,35,0,0,0,29,23,7,0,133,54,19,3,221,0.125,0,0.25,0,0,0,0,0,0.5,0.5,1,0.25,0,0,0,0,0.014705882352941,0,1,0
0,0,1,1,0,0,5,2,0,0,17,2,0.057142857142857,33,0,0,0,21,26,4,0,90,30,5,1,258,0.5,0.111111111111111,0,0.8,0,0,0,0,1,0,1,0,0.071428571428572,0,0.6,0,0.077777777777778,0,1,0
