NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,LOC_CANDIDATE,LOC_RATIO,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,7,1,3,2,47,18,7,0,67,13,0.619047619047619,0,0,4,4,2,0,23,12,1,1,64,1,1,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0,1,0.333333333333333,1,0.75,0.333333333333333,1,1,0.511111111111111,0.333333333333333,1
0,0,4,5,3,6,65,30,3,6,97,28,0.636363636363636,0,0,16,9,3,2,62,23,11,6,89,1,0,0.571428571428571,0,1,0,0.142857142857143,0,1,0.142857142857143,1,0,0.142857142857143,0,1,0.87037037037037,0.142857142857143,0.857142857142857
0,0,17,12,8,3,92,38,10,3,161,33,0.673469387755102,0,0,16,9,3,2,62,23,11,6,89,1,1,0.333333333333333,0.166666666666667,1,0.5,0.5,0.333333333333333,1,0.333333333333333,1,0.523809523809524,0.166666666666667,0.666666666666667,0.547368421052632,0,1,0
0,0,2,5,2,0,26,9,1,2,31,11,0.458333333333333,0,0,6,4,3,1,34,15,3,4,49,1,0.5,0.25,0.25,0.5,0,0.25,0,1,0.25,1,0,0.25,0,1,0.916666666666667,0.25,1
0,0,2,4,2,0,33,18,1,4,87,16,0.551724137931034,0,0,6,4,3,1,34,15,3,4,49,1,1,0.25,0.75,1,0,0.25,0,1,0.25,1,0,0.25,0,1,0,0.75,0
0,0,20,18,14,6,182,70,13,12,277,61,0.685393258426966,0,0,16,13,6,9,114,46,7,4,175,1,1,0.25,0.25,1,1,0.25,0.166666666666667,1,0.083333333333333,1,1,0.166666666666667,0.166666666666667,1,1,0.333333333333333,0.083333333333333
0,0,1,1,1,2,15,8,1,1,32,9,0.529411764705882,0,0,4,5,1,3,31,13,1,3,61,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,0.653846153846154,0,1,0
1,0,11,6,5,3,86,28,9,0,171,21,0.428571428571429,0,0,16,13,6,9,114,46,7,4,175,1,1,0.857142857142857,0.428571428571429,1,0.666666666666667,0.285714285714286,0.285714285714286,1,0.142857142857143,1,0.666666666666667,0.285714285714286,0.285714285714286,1,0.666666666666667,0.142857142857143,0.285714285714286
0,0,6,4,5,3,65,27,4,4,66,22,0.733333333333333,0,0,4,5,1,3,31,13,1,3,61,1,1,0.142857142857143,0.142857142857143,1,0,0.142857142857143,0,1,0.142857142857143,1,0,0.285714285714286,0,1,0,0.142857142857143,0
0,0,1,1,0,0,10,4,0,2,40,5,0.072463768115942,0,0,9,36,8,2,166,60,7,11,257,1,0.5,0.25,0.25,0,0,0,0,1,0.25,0.333333333333333,0,0.25,0,0.555555555555556,0,1,0
0,0,1,6,1,0,29,15,0,1,140,9,0.75,0,0,1,1,0,0,10,4,0,2,40,1,0,1,0,0,0,0,0,1,0.25,1,0,0.25,0,1,0,0.25,0
0,0,0,3,1,1,39,20,2,4,63,11,0.115789473684211,0,0,6,14,15,15,286,150,2,16,763,1,1,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0,1,0.333333333333333,0,0,0,0,0.75,0,1,0
0,0,1,3,1,0,13,3,0,2,26,8,0.347826086956522,0,0,6,5,3,2,39,16,2,4,73,1,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,0.25,0,0.333333333333333,0,0.777777777777778,0,0.666666666666667,0
0,0,0,4,1,1,23,11,0,3,43,11,0.423076923076923,0,0,6,5,3,2,39,16,2,4,73,1,1,0.333333333333333,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,0,0,0.76,0,0.666666666666667,0
0,0,3,8,1,0,28,9,0,3,54,11,0.578947368421053,0,0,3,4,2,0,18,7,0,1,45,1,0.6,0.25,0.75,0,0,0,0,1,0.25,0.6,0,0.5,0,1,0,0.5,0
0,0,1,6,0,1,37,16,1,6,54,13,0.590909090909091,0,0,9,11,2,2,46,15,7,1,82,1,1,0.166666666666667,0.5,1,0,0.166666666666667,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0,0.333333333333333,0
0,0,5,4,3,2,36,9,1,1,56,13,0.619047619047619,0,0,4,8,1,0,33,11,0,4,66,1,0.8,0.5,0.75,1,0,0.25,0,1,0.25,1,0.571428571428571,0.25,0.75,0.6875,0,1,0
0,0,5,4,3,2,36,9,1,1,56,13,0.65,0,0,4,8,1,0,31,10,0,3,61,1,0.8,0.5,0.75,1,0,0.25,0,1,0.25,1,0.571428571428571,0.25,0.75,0.88,0,1,0
0,0,0,3,0,3,23,7,0,0,60,5,0.294117647058824,0,0,2,9,2,3,39,15,1,3,75,1,0,1,0,0,0,0,0,1,0.25,0,0,0,0,0.125,0,1,0
0,0,0,3,0,3,23,7,0,0,60,5,0.3125,0,0,5,4,3,2,32,9,1,1,54,0.7,0,1,0,0,0,0,0,1,0.25,0,0,0,0,0.194444444444444,0,1,0
0,0,0,1,1,0,12,6,0,2,29,9,0.529411764705882,0,0,5,7,1,0,35,15,1,5,99,1,0,0.25,0,0,0,0,0,1,0.25,0,0,0,0,0.09375,0,0.5,0
0,0,34,14,6,11,140,36,30,2,129,45,0.882352941176471,0,0,3,4,0,1,18,6,1,2,30,1,1,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.967741935483871,0.333333333333333,1,1,0.863636363636364,0.666666666666667,1
0,1,2,1,0,4,23,8,1,1,29,17,0.85,0,0,8,6,0,0,32,9,5,3,50,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,0.827586206896552,0,1,0
0,0,1,8,3,1,41,14,1,4,62,24,0.685714285714286,0,0,2,12,0,0,47,13,2,1,112,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.386792452830189,0.333333333333333,1
0,0,2,1,0,0,16,6,3,2,11,4,0.210526315789474,0,0,3,2,3,0,32,13,4,4,42,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.294117647058824,0,0.666666666666667,0
0,0,2,1,0,0,16,6,3,2,11,4,0.16,0,0,9,4,4,3,59,26,10,4,81,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.111111111111111,0.333333333333333,0.333333333333333,0.144927536231884,0,0.666666666666667,0
0,0,0,11,9,2,120,61,9,7,169,53,0.841269841269841,0,0,2,3,2,2,24,9,0,1,50,1,1,0.142857142857143,0.428571428571429,1,0,0.142857142857143,0,1,0.142857142857143,0,0,0,0,1,0,0.142857142857143,0
0,0,1,3,0,0,13,4,0,2,25,8,0.666666666666667,0,0,1,4,0,0,16,5,1,1,28,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,1,0,0.333333333333333,0,0.882352941176471,0,1,0
0,0,3,1,1,1,16,5,3,0,22,6,0.857142857142857,0,0,2,2,0,0,7,2,0,0,18,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.333333333333333,1,0.333333333333333,0.75,0,0.666666666666667,0,1,0.733333333333333,0.666666666666667,1
1,0,18,31,16,6,319,166,58,18,591,81,0.698275862068966,0,0,10,19,7,3,111,45,11,9,167,1,1,0.4,0.4,1,1,0.4,0.4,1,0.6,1,1,0.4,0.4,1,0.714285714285714,0.2,1
0,0,2,2,1,1,16,6,1,1,45,6,0.666666666666667,0,0,1,3,0,1,16,8,1,2,40,1,1,0.666666666666667,0.666666666666667,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.666666666666667,0,0.714285714285714,0,1,0
0,0,2,2,1,1,16,6,1,1,45,6,0.666666666666667,0,0,1,3,0,1,16,8,1,2,40,1,1,0.666666666666667,0.666666666666667,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.666666666666667,0,0.714285714285714,0,1,0
0,0,0,3,0,0,9,5,0,1,26,4,0.235294117647059,0,0,5,7,2,0,38,18,0,3,79,1,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0,1,0
0,0,0,3,0,0,9,5,0,1,26,4,0.235294117647059,0,0,5,7,2,0,38,18,0,3,79,1,0.25,0.666666666666667,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0,1,0
0,0,12,27,5,1,132,43,9,11,197,35,0.660377358490566,0,0,8,10,1,1,58,20,5,5,104,1,1,0.25,0.25,1,1,0.25,0.25,1,0.25,1,1,0.25,0.25,0.785714285714286,0,1,0
0,0,5,11,7,0,56,22,1,6,125,25,0.609756097560976,0,0,5,15,2,1,60,22,0,3,134,1,0.6,0.25,0.75,1,0,0.25,0,1,0.5,1,0,0.25,0,1,0,0.5,0
0,0,5,6,0,2,29,6,1,2,45,10,0.555555555555556,0,0,5,6,0,1,28,5,1,3,48,0.8,0,0.75,0,0.5,0,0.25,0,1,0.25,0.571428571428571,0,0.5,0,0.555555555555556,0.509090909090909,0.5,1
1,0,2,3,0,0,54,5,1,1,66,4,0.444444444444444,0,0,6,5,0,0,26,9,1,2,80,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0,1,0
0,0,2,7,1,2,27,6,0,3,42,13,0.325,0,0,11,11,2,0,78,17,7,5,109,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.242990654205607,0.5,1
0,0,2,7,1,2,27,6,0,3,42,13,0.183098591549296,1,0,30,29,5,3,203,48,21,12,317,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.112068965517241,0.5,1
1,0,30,29,5,3,217,48,21,12,317,60,0.923076923076923,0,0,6,5,0,0,26,9,1,2,80,1,1,0.363636363636364,0.272727272727273,1,1,0.363636363636364,0.090909090909091,1,0.272727272727273,1,0.863636363636364,0.363636363636364,0.818181818181818,1,0.782608695652174,0.545454545454545,0.818181818181818
1,0,2,3,0,0,56,5,1,1,68,4,0.235294117647059,0,0,10,9,2,1,47,14,3,2,103,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0,1,0
0,0,8,13,0,1,59,18,4,8,100,19,0.59375,0,0,10,9,2,1,47,14,3,2,103,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.4,0.333333333333333,0.666666666666667,1,0.888888888888889,0.333333333333333,0.333333333333333
0,0,8,13,0,1,59,18,4,8,100,19,0.791666666666667,0,0,2,3,1,1,17,4,0,1,18,1,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.8,0.333333333333333,0.666666666666667,1,1,0.333333333333333,0.333333333333333
0,0,5,4,1,1,27,7,1,0,64,9,0.75,0,0,5,4,0,0,23,11,1,1,134,1,0,0.25,0,1,0,0.25,0,1,0.25,0.714285714285714,0,1,0,0.65625,0,1,0
0,0,2,3,1,1,19,4,0,1,18,7,0.5,0,0,5,4,1,1,23,7,1,0,64,1,0,0.5,0,0,0,0,0,1,0.25,0.333333333333333,0,0.5,0,0.25,0,0.5,0
0,0,0,1,1,0,19,6,0,2,38,8,0.235294117647059,0,0,8,17,1,3,90,23,4,10,143,1,1,0.666666666666667,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,0.142857142857143,0.12,0.666666666666667,0.333333333333333
1,0,2,4,0,0,55,5,1,1,68,4,0.444444444444444,0,0,6,6,0,0,27,9,1,2,82,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0,1,0
0,0,8,22,2,2,88,28,7,8,141,29,0.852941176470588,0,0,6,6,0,0,27,9,1,2,82,1,1,0.2,0.2,1,1,0.2,0.2,1,0.2,1,0.666666666666667,0.2,0.8,1,0.916666666666667,0.2,0.6
0,0,1,5,2,0,24,5,0,3,38,11,0.366666666666667,0,0,10,13,2,2,64,17,3,6,114,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.348484848484848,0.5,0.833333333333333
0,0,2,3,1,0,16,5,0,1,47,6,0.545454545454545,0,0,6,6,0,0,27,9,1,2,82,1,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.75,0.333333333333333,0.666666666666667
0,0,2,3,1,0,16,5,0,1,47,6,0.6,0,0,6,6,0,0,28,13,1,1,165,1,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.75,0.333333333333333,0.666666666666667
0,0,2,3,2,1,27,7,0,2,33,10,0.454545454545455,0,0,2,12,1,0,43,13,1,5,67,1,1,0.6,0.4,0,0,0,0,1,0.2,1,0,0.2,0,0.442857142857143,0,1,0
0,0,2,3,2,1,27,7,0,2,33,10,0.27027027027027,0,0,8,22,2,2,85,28,7,8,139,1,1,0.6,0.4,0,0,0,0,1,0.2,0.333333333333333,0,0.2,0,0.303921568627451,0,1,0
0,0,2,12,1,0,43,13,1,5,68,14,0.424242424242424,0,0,10,13,2,2,64,17,3,6,114,1,1,0.363636363636364,0.272727272727273,0.333333333333333,0,0.090909090909091,0,1,0.090909090909091,0.285714285714286,0,0.181818181818182,0,1,0.488095238095238,0.363636363636364,0.818181818181818
1,0,2,3,0,0,42,5,1,1,54,4,0.4,0,0,7,6,0,0,28,9,1,2,84,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0,1,0
0,0,5,4,1,1,29,8,1,0,71,9,0.75,0,0,5,4,0,0,24,12,1,1,144,1,0,0.25,0,1,0,0.25,0,1,0.25,0.714285714285714,0,1,0,0.666666666666667,0,1,0
0,0,21,39,5,4,187,56,15,17,298,66,0.916666666666667,0,0,7,6,0,0,28,9,1,2,84,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.333333333333333
0,0,21,39,5,4,187,56,15,17,298,66,0.904109589041096,0,0,5,4,1,1,25,8,1,0,71,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.666666666666667
0,0,1,5,0,3,29,12,1,3,64,11,0.846153846153846,0,0,2,2,0,0,12,6,0,2,59,1,0,0.4,0,1,0,0.2,0,1,0.2,1,0,0.2,0,1,0,0.6,0
0,0,8,9,0,0,70,21,6,9,125,18,0.75,0,0,7,6,0,0,28,9,1,2,84,1,1,0.3,0.2,1,0.666666666666667,0.1,0.2,1,0.1,1,0.555555555555556,0.1,0.2,1,1,0.6,0.5
0,0,8,9,0,0,70,21,6,9,125,18,0.45,0,0,4,17,5,0,80,27,0,5,202,1,1,0.3,0.2,1,0,0.2,0,1,0.1,1,0.833333333333333,0.1,0.2,1,1,0.6,0.5
