NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,2,1,1,0,14,5,2,1,25,5,0.208333333333333,16,0,0,0,9,7,5,3,49,17,7,3,65,1,0,1,0,1,0,1,0,1,1,0.222222222222222,0,1,0,1,0.354838709677419,1,1
0,1,9,19,4,6,104,36,0,9,165,43,0.361344537815126,79,0,1,1,19,33,9,6,163,53,5,12,215,1.16666666666667,1,0.4,0.2,0,0,0,0,1,0.2,1,0.75,0.2,0.4,1,0.8,0.2,0.2
0,0,5,2,2,2,26,9,4,1,33,11,0.458333333333333,14,0,0,0,4,6,1,0,22,6,2,0,39,1,1,0.5,0.5,1,1,0.5,0.25,1,0.25,0.625,0,1,0,0,0,0,0
0,0,12,18,2,4,86,33,11,4,138,24,1.5,0,0,0,0,1,1,0,0,5,2,0,0,13,8,1,0.2,0.2,8,0,0.2,0,1,0.1,2.75,0,0.4,0,3.17647058823529,1,0.6,0.4
0,0,19,17,1,2,69,18,8,2,92,15,1.875,0,0,0,0,1,1,0,0,3,0,0,0,3,3,1,0.375,0.375,2,1,0.25,0.25,2,0.25,2,1,0.25,0.75,2.4,1,0.5,1
3,0,6,7,3,3,104,33,1,8,203,24,1,0,0,0,0,1,1,0,0,11,7,0,0,57,1,1,0.25,0.25,1,0,0.083333333333333,0,1,0.083333333333333,1,1,0.083333333333333,0.083333333333333,1.07843137254902,1,0.666666666666667,0.25
1,0,7,6,3,0,55,18,6,4,57,15,1,0,0,0,0,1,1,0,0,4,1,0,0,6,1.5,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0,0.666666666666667,0,1.18181818181818,1,0.333333333333333,0.666666666666667
0,0,8,26,6,3,153,53,1,10,432,39,0.847826086956522,13,0,0,0,6,3,0,0,41,15,5,7,65,1.5,1,0.157894736842105,0.263157894736842,1,0,0.052631578947369,0,1,0.157894736842105,1,0,0.157894736842105,0,1,1,0.526315789473684,0.210526315789474
0,0,4,7,0,0,24,9,2,1,49,7,0.777777777777778,5,0,0,0,4,4,1,0,17,7,1,1,53,1,0,0.833333333333333,0,1,0,0.166666666666667,0,1,0.166666666666667,1,0,0.166666666666667,0,0.769230769230769,0,0.5,0
0,0,11,25,17,1,118,43,1,8,262,61,1.525,0,0,0,0,1,1,0,0,11,3,0,0,27,2,1,0.166666666666667,0.666666666666667,1,0,0.083333333333333,0,1,0.25,1,0,0.333333333333333,0,1.24324324324324,1,0.416666666666667,0.333333333333333
0,0,1,2,2,0,21,9,1,3,42,12,0.631578947368421,5,0,0,0,1,2,1,0,15,6,0,2,34,1,1,0.25,0.25,0.5,0,0.25,0,1,0.25,0.5,0,0.25,0,1,0.25,0.5,0.25
0,0,12,20,2,0,78,25,10,2,147,17,1,0,0,0,0,1,1,0,0,4,1,0,0,12,1,0,0.714285714285714,0,1,1,0.285714285714286,0.428571428571429,1,0.285714285714286,1,0,0.714285714285714,0,1.05263157894737,1,1,1
0,0,3,3,0,0,9,1,0,0,9,2,1,0,0,0,0,1,1,0,0,3,1,0,0,8,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
0,0,3,3,0,0,9,1,0,0,9,2,1,0,0,0,0,1,1,0,0,3,1,0,0,8,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
0,0,7,8,2,1,44,11,4,2,64,13,0.216666666666667,46,0,0,0,19,27,5,3,125,37,7,10,206,1,1,0.6,0.2,1,0,0.2,0,1,0.4,0.538461538461538,0,0.8,0,1,0.685714285714286,0.2,1
0,0,16,13,2,0,51,6,0,3,65,15,0.340909090909091,0,0,0,0,1,1,0,0,3,0,0,0,4,1,0.666666666666667,0.166666666666667,0.333333333333333,0,0,0,0,1,0.166666666666667,1,1,0.333333333333333,0.166666666666667,1,0.355371900826446,0.166666666666667,0.833333333333333
0,0,19,67,14,0,223,73,40,17,273,75,1.33928571428571,23,0,0,0,2,9,2,1,36,9,2,2,43,1.07142857142857,0,0.538461538461538,0,1.07142857142857,0,0.538461538461538,0,1,0.076923076923077,4,1,0.461538461538462,0.076923076923077,2.15,0,1,0
0,0,10,8,1,1,44,15,8,1,85,10,1.25,3,0,0,0,7,6,0,0,30,6,4,2,42,1,0.8,0.142857142857143,0.571428571428571,1,0.8,0.142857142857143,0.571428571428571,1,0.142857142857143,1,0.8,0.142857142857143,0.571428571428571,3.8,1,0.571428571428571,0.142857142857143
0,0,5,8,0,0,34,14,0,3,119,10,0.833333333333333,3,0,0,0,5,4,0,0,23,11,2,3,102,1,1,0.666666666666667,0.111111111111111,0,0,0,0,1,0.222222222222222,1,0.666666666666667,0.222222222222222,0.222222222222222,0.705882352941176,0,0.333333333333333,0
0,0,12,20,3,2,117,42,8,8,225,57,0.850746268656716,9,0,0,0,7,7,3,0,35,13,4,1,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,2,5,0,0,10,2,0,1,8,3,0.142857142857143,33,0,0,1,16,16,3,3,68,25,8,3,124,1,0,0.5,0,0,0,0,0,1,0.5,1,0,0.5,0,0.25,0,1,0
0,0,14,17,5,0,84,26,1,6,107,35,1.06060606060606,0,0,0,0,1,1,0,0,4,1,0,0,8,1,1,0.4,0.1,1,0,0.1,0,1,0.3,1,0,0.4,0,1.04,0,0.6,0
0,0,9,15,4,2,64,25,8,2,102,19,0.5,19,0,0,0,9,10,6,0,48,19,8,2,98,1,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.529411764705882,0,0.666666666666667,0,1,0.666666666666667,0.333333333333333,1
0,0,6,8,2,0,40,13,2,2,75,17,1,0,0,0,0,1,1,0,0,7,4,0,0,22,1,0,1,0,1,0,0.5,0,1,0.5,1,0,0.5,0,1,0,0.5,0
0,0,14,20,4,0,108,40,11,8,140,26,0.866666666666667,6,0,0,0,1,3,1,0,10,5,0,0,38,1,1,0.375,0.25,1,1,0.25,0.25,2,0.25,1.22222222222222,0,0.5,0,1.02777777777778,0,0.875,0
0,0,1,3,0,0,6,1,1,0,6,2,0.2,5,0,0,0,3,6,1,0,22,11,1,2,91,1,0,1,0,1,0,1,0,1,1,0.5,0,1,0,0.235294117647059,0,1,0
0,0,5,6,2,0,31,12,0,1,80,13,1.3,0,0,0,0,2,2,0,0,10,6,1,0,38,2,0,1,0,0,0,0,0,1.5,1,1,0,1,0,1.1875,0,1,0
0,0,5,6,2,0,31,12,0,1,80,13,1.3,0,0,0,0,2,2,0,0,10,6,1,0,38,2,0,1,0,0,0,0,0,1.5,1,1,0,1,0,1.1875,0,1,0
0,0,4,5,1,0,18,6,0,0,55,10,1.42857142857143,0,0,0,0,2,2,0,0,8,4,1,0,30,2,0,1,0,0,0,0,0,2,1,1,0,1,0,1.33333333333333,0,1,0
0,0,4,5,0,0,20,6,1,3,47,8,0.888888888888889,0,0,0,0,4,4,0,0,8,0,0,0,14,0.666666666666667,0,0.5,0,0,0,0,0,1,0.25,1,0,0.25,0,2.5,1,0.5,0.5
0,0,11,12,4,0,57,20,0,2,162,18,1.05882352941176,4,0,0,0,1,5,0,0,19,9,0,4,52,1.25,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,2,1,0.333333333333333,0.333333333333333,2,1,0.333333333333333,1
0,0,1,5,0,0,23,10,0,3,47,8,1,0,0,0,0,1,1,0,0,3,1,0,0,11,1,0,0.6,0,0,0,0,0,1,0.2,1,0,0.2,0,1,0,1,0
0,0,4,15,1,2,49,20,0,3,123,15,0.517241379310345,15,0,0,0,3,13,1,2,56,26,0,5,139,1,0,0.125,0,0,0,0,0,1,0.125,1,0,0.125,0,1,0,0.125,0
0,0,0,11,4,1,25,6,0,1,20,13,0.419354838709678,18,0,0,0,4,18,5,1,43,11,0,1,57,1,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,0,0,0.2,0,0.666666666666667,0
0,0,1,4,0,1,21,7,0,1,38,5,0.416666666666667,4,0,0,0,22,31,1,1,77,18,9,1,106,0.666666666666667,0.5,0.5,0.75,0,0,0,0,1,0.25,0,0,0,0,1,0.38,0.5,1
0,0,2,3,0,0,17,7,0,2,65,5,1,0,0,0,0,2,1,0,0,7,4,1,0,39,1,1,0.5,0.25,0,0,0,0,1,0.25,1,0.5,0.25,0.25,1,1,0.75,0.5
0,0,4,6,0,1,28,8,0,4,50,7,0.4375,11,0,0,0,9,11,0,0,44,13,0,7,90,1,1,0.333333333333333,0.166666666666667,0,0,0,0,1,0.166666666666667,0.333333333333333,0,0.666666666666667,0,0.611111111111111,0.432432432432432,0.5,0.833333333333333
0,0,8,10,4,2,46,13,3,1,81,24,0.96,2,0,0,0,2,4,0,0,15,6,0,2,38,1.25,1,1,1,1,0,1,0,1,1,1,0.833333333333333,1,1,1,0,1,0
1,0,1,8,1,2,42,15,1,4,52,11,0.333333333333333,24,0,0,0,21,15,5,0,85,30,20,3,111,1,1,0.333333333333333,0.166666666666667,1,0,0.166666666666667,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.9375,0.166666666666667,0.666666666666667
0,0,8,7,0,0,19,3,2,0,20,11,0.017886178861789,613,0,0,0,652,397,119,148,2541,761,424,44,2446,0,0,0,0,0,0,0,0,0.083333333333333,1,0.018604651162791,0,1,0,0.012213740458015,0,1,0
0,0,3,3,0,0,6,0,0,0,6,4,0.00650406504065,613,0,0,0,652,397,119,148,2541,761,424,44,2446,0,0,0,0,0,0,0,0,0.083333333333333,1,0.007109004739337,0,1,0,0.007109004739337,0,1,0
0,0,6,5,1,0,29,12,0,0,120,8,0.0625,127,0,0,0,64,79,15,12,392,135,12,19,576,0.333333333333333,0.2,0.2,0.4,0,0,0,0,1,0.2,1,0.12,0.2,0.6,0.151079136690647,0.090909090909091,1,0.2
0,0,9,31,8,2,126,39,4,11,199,55,0.178571428571429,91,0,0,0,69,59,3,32,410,152,82,12,584,1,0.642857142857143,1,1,0.1875,0,1,0,1,1,0.5,0.036036036036036,1,1,0.533333333333333,0.505494505494506,1,1
0,0,50,49,1,6,254,59,45,1,360,63,0.204545454545455,91,0,0,0,69,59,3,32,410,152,82,12,584,1,0,0.35,0,1,0,0.35,0,1,0.15,1,0.444444444444444,0.1,0.2,1,0.346067415730337,0.05,1
0,0,16,17,3,3,87,22,13,2,141,23,0.074675324675325,91,0,0,0,69,59,3,32,410,152,82,12,584,1,1,0.571428571428571,0.428571428571429,1,0.125,0.571428571428571,0.285714285714286,1,0.142857142857143,1,0.126126126126126,0.142857142857143,0.714285714285714,0.3125,0.177631578947368,0.142857142857143,0.714285714285714
0,0,8,35,6,1,102,28,6,5,125,47,0.152597402597403,91,0,0,0,69,59,3,32,410,152,82,12,584,1,1,0.333333333333333,0.666666666666667,0.31578947368421,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,0.517241379310345,0.143820224719101,0.333333333333333,0.666666666666667
0,0,6,22,0,5,113,38,10,14,179,37,0.12012987012987,91,0,0,0,69,59,3,32,410,152,82,12,584,1,1,0.142857142857143,0.214285714285714,0.4,0.25,0.142857142857143,0.142857142857143,1,0.142857142857143,0.054054054054054,0,0.285714285714286,0,0.428571428571429,0.289855072463768,0.142857142857143,0.285714285714286
0,0,3,10,0,0,29,10,7,2,47,9,0.75,6,0,0,0,3,7,0,1,30,9,5,2,48,1,0,0.666666666666667,0,1,0,0.666666666666667,0,1,0.166666666666667,1,0,0.5,0,0.818181818181818,0,0.5,0
1,0,4,11,6,2,61,22,0,3,104,19,0.452380952380952,23,0,0,0,4,7,1,0,36,13,0,2,81,1,0.833333333333333,0.5,1,0,0,0,0,1,0.5,1,0.6,0.5,1,1,0.6875,0.5,1
0,0,7,4,3,0,29,7,3,1,51,15,0.652173913043478,12,0,0,0,4,7,1,2,29,8,1,2,91,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0.441176470588235,0.5,1
0,0,2,2,0,0,9,3,1,0,19,4,0.086956521739131,42,0,0,0,37,20,8,4,165,42,22,5,124,0.142857142857143,0,0.333333333333333,0,0.142857142857143,0,0.333333333333333,0,0.5,0.333333333333333,0.071428571428572,0,0.666666666666667,0,0.4,0.142857142857143,0.333333333333333,0.333333333333333
0,0,18,21,6,7,145,37,17,2,145,50,0.862068965517241,11,1,0,0,6,1,3,1,20,5,5,0,23,2,1,1,1,2,1,1,1,1,1,0.72,0,1,0,1,1,1,1
0,0,4,5,0,0,21,6,1,2,43,5,0.416666666666667,4,0,0,0,6,8,0,0,26,5,1,3,39,1,1,0.5,0.25,1,0,0.25,0,1,0.25,1,0,0.25,0,1,0.833333333333333,0.75,0.25
0,0,3,7,0,0,28,10,0,2,67,8,1,0,0,0,0,1,1,0,0,7,4,0,0,35,1,0,0.285714285714286,0,0,0,0,0,1,0.285714285714286,1,0,0.285714285714286,0,1.125,1,0.428571428571429,0.428571428571429
0,0,33,114,0,3,273,77,9,9,349,55,1,1,0,0,0,2,8,0,0,10,0,0,0,6,1,1,0.407407407407407,0.388888888888889,1,0,0.055555555555556,0,1,0.148148148148148,1,1,0.351851851851852,0.055555555555556,1,1,0.87037037037037,0.240740740740741
1,0,9,9,2,0,55,20,9,1,93,15,1.25,2,0,0,0,1,3,0,0,11,4,2,1,13,1,0,1,0,1,0,1,0,1,0.5,1,0,0.5,0,6,1,1,0.5
